Reporter_ID,Year,Month,Gender,Education,Party_member,Age,Tenure,Position,Qualification,Division,#Articles,#Words,QuantityScore,QualityScore,#Investigative,#Feature,#Special,#Advertising,#Propaganda,#AssignedWithEditor,#ColumnByContent,#ArticleWithExternalAuthors,#Coauthorearticle
1,2004,1,1,1,1,27,9.153445197,2,1,4,50,12137,1248,2440,7,9,1,9,7,6,4,3,3
1,2004,2,1,1,1,27,9.23677853,2,1,4,26,18538,2307,233,9,9,0,3,5,5,1,8,8
1,2004,3,1,1,1,27,9.320111864,2,1,4,5,4268,2529,1842,0,3,3,1,7,1,1,1,1
1,2004,4,1,1,1,27,9.403445197,2,1,4,30,19575,4712,1717,0,4,3,1,0,0,1,0,0
1,2004,5,1,1,1,27,9.48677853,1,2,4,9,21129,1436,0,8,1,2,8,4,7,6,5,5
1,2004,6,1,1,1,27,9.570111864,1,2,4,17,34430,2836,2383,1,3,8,6,2,5,7,7,7
1,2004,7,1,1,1,27,9.653445197,1,1,4,31,43595,2800,1444,7,7,9,5,9,2,8,2,2
1,2004,8,1,1,1,27,9.73677853,1,2,4,55,14814,1328,3835,3,9,0,1,5,0,8,7,7
1,2004,9,1,1,1,27,9.820111864,2,1,4,76,1506,3296,3022,1,1,7,7,0,4,1,0,0
1,2004,10,1,1,1,27,9.903445197,2,3,4,61,23450,2930,1719,2,2,9,8,9,0,1,8,8
1,2004,11,1,1,1,27,9.98677853,2,3,4,30,16585,1730,1380,4,8,5,9,9,2,7,8,8
1,2004,12,1,1,1,27,10.07011186,1,3,4,81,15999,2327,0,1,8,3,7,4,5,3,4,4
1,2005,1,1,1,1,28,10.1534452,2,3,4,44,230,856,2400,0,2,3,0,2,3,8,2,2
1,2005,2,1,1,1,28,10.23677853,1,1,4,11,19660,950,1400,2,3,8,8,0,7,9,0,0
1,2005,3,1,1,1,28,10.32011186,1,1,4,34,23951,2051,963,1,9,4,5,1,9,4,2,2
1,2005,4,1,1,1,28,10.4034452,2,2,4,18,31501,3031,1499,6,0,4,2,1,2,9,3,3
1,2005,5,1,1,1,28,10.48677853,3,3,4,5,11666,1654,3179,1,1,2,1,5,1,0,7,7
1,2005,6,1,1,1,28,10.57011186,1,1,4,7,7433,1293,2973,9,3,1,3,1,4,6,5,5
2,2004,1,0,1,1,29,14.32718927,1,1,6,29,11561,1785,2969,1,3,7,6,6,3,0,6,6
2,2004,2,0,1,1,29,14.4105226,1,3,6,48,30711,3134,337,5,7,4,7,9,7,8,0,0
2,2004,3,0,1,1,29,14.49385593,1,1,6,55,36698,356,3208,2,5,3,7,9,0,4,3,3
2,2004,4,0,1,1,29,14.57718927,2,2,6,5,33190,3176,938,0,9,5,9,2,4,5,3,3
2,2004,5,0,1,1,29,14.6605226,1,2,6,25,26926,2731,2294,9,9,5,6,1,6,6,1,1
2,2004,6,0,1,1,29,14.74385593,2,1,6,42,17930,350,2164,2,2,0,0,9,5,8,8,8
2,2004,7,0,1,1,29,14.82718927,1,1,6,35,19993,1779,1321,0,6,5,3,2,8,9,4,4
2,2004,8,0,1,1,29,14.9105226,1,2,6,47,21922,2889,1710,7,3,3,5,5,2,1,8,8
2,2004,9,0,1,1,29,14.99385593,1,2,6,23,15019,140,0,1,8,7,9,6,4,2,1,1
2,2004,10,0,1,1,29,15.07718927,1,3,6,59,30122,759,1540,7,1,7,4,8,3,7,6,6
2,2004,11,0,1,1,29,15.1605226,1,1,6,32,230,140,1217,7,4,1,6,2,9,9,9,9
2,2004,12,0,1,1,29,15.24385593,1,1,6,48,230,1342,3885,9,1,2,3,9,6,9,0,0
2,2005,1,0,1,1,30,15.32718927,3,2,6,24,230,3401,1507,5,5,7,1,1,0,2,6,6
2,2005,2,0,1,1,30,15.4105226,1,2,6,33,7740,3095,692,7,6,8,7,7,1,0,5,5
2,2005,3,0,1,1,30,15.49385593,3,1,6,1,36170,1435,1602,6,5,6,7,1,0,9,7,7
2,2005,4,0,1,1,30,15.57718927,1,2,6,14,2622,3389,738,7,7,9,6,1,3,8,7,7
2,2005,5,0,1,1,30,15.6605226,3,1,6,28,3109,2924,0,3,7,9,5,8,0,5,3,3
2,2005,6,0,1,1,30,15.74385593,2,1,6,34,7433,3703,1927,2,4,9,7,9,5,0,5,5
2,2005,7,0,1,1,30,15.82718927,2,1,6,90,33011,1966,1484,6,5,2,8,9,9,3,4,4
2,2005,8,0,1,1,30,15.9105226,2,1,6,24,37349,2765,2565,4,2,1,7,6,4,0,9,9
