class_leader,school_type,gender,grade,SES,academic_ability,education_expectation,education_expectation_communication,personality_extraversion,boarding,only_child,hukou,age,question_opportunity,discussion_opportunity,cognitive_opportunity,total_opportunity
0,0,1,0,-0.6833810365201296,-0.8359397761665085,2,1,0.05559214655174745,1,0,0,14.992465258401124,0.2232872904239352,0.9095121105888697,0.13783133009179638,0.42354357703486706
1,0,1,1,1.1086744199557241,-1.6101697979934344,2,1,-0.3449620674936655,0,0,0,12.401622054841127,0.4838907080342693,-0.984177486358534,1.735402684105571,0.41170530192710214
1,1,1,1,1.423264921065661,-0.36714357104723133,4,0,-0.31334090934713393,1,0,0,13.978985053536782,1.1649271272603037,0.7864863982101156,0.02525488570475104,0.6588894703917234
0,0,0,1,-0.13339032211162255,1.1229693715857356,3,1,-0.664853987102495,0,1,1,11.263083169120614,-1.222577369642008,-1.1660143893757533,-1.049010333926489,-1.1458673643147501
0,1,0,0,-1.3864894206912433,0.6559605521413735,2,1,-1.0708302602147548,0,0,0,12.478821758238523,0.30358987715996166,0.14280053938900147,-0.6656685119500853,-0.0730926984670407
0,0,0,0,-0.5238431703133952,-0.0015718073731942623,3,1,0.6091429242105775,0,1,0,11.435007064198563,0.24798632209671595,1.2185677005298081,-0.7900771843793066,0.22549227941573916
0,0,0,0,-0.18398866010296422,-0.4167054835910575,2,1,-0.33780411896225443,1,1,1,11.221399748654067,-0.9579392186700786,0.21319817991515186,-0.4559250475750736,-0.40022202877666674
1,1,1,0,0.5055388769032081,-0.3897621361164312,2,1,0.6190189801473731,0,0,1,13.355164162037983,-0.10489972160245276,0.28742235025765983,0.13081071055776478,0.10444444640432395
0,0,1,1,-1.008013223170678,0.10878490586079616,3,1,-1.1116273304811475,1,1,0,14.20812395009293,0.6931294756894736,0.22603109949750366,-0.2267766178265428,0.23079465245347816
1,1,0,1,-0.7691623186421507,-1.0684374858458288,3,0,-0.6652421577496426,0,0,0,12.811881004566882,-0.6385916481500766,0.963309492084395,0.6319274971441948,0.3188817803595044
0,1,1,1,0.5106761378588074,-0.3481073452012972,2,1,-0.22118302784676622,0,0,0,13.096716441763848,2.4637710699206323,2.1340020186585695,-0.4610954347446471,1.378892551278185
1,1,0,1,0.9389088320395578,-0.21556946135976882,1,0,-0.12786703681621076,0,0,0,12.082920068100838,1.0557616008917532,0.9524406704269763,1.4488010119075394,1.1523344277420897
1,1,1,0,-0.6215940451706842,-1.3510744584514975,3,1,0.7543687259322099,0,0,0,13.945549123495258,0.4426631893519442,-0.20251382903226828,-1.5381951080485874,-0.4326819159096371
0,0,0,0,-1.333217053950996,-0.8384482508975749,4,0,-0.4305092895923585,0,1,0,12.4442930685674,-0.2521523343715766,-0.20865295302311823,-2.2268569488815553,-0.8958874120920833
0,1,0,0,3.284118201287884,0.4105067914863815,4,0,0.7467422428108753,0,0,1,11.26999608130531,0.7882014986419505,-0.9011266168092057,1.0013092712316265,0.2961280510214571
0,0,0,1,0.7833042370887136,0.009511839940994225,2,0,0.3749440085596946,0,1,0,11.662030844102665,-0.41134953159634297,-1.2392381475108456,0.9227325764490136,-0.24261836755272495
0,0,0,1,-0.2670037617670316,-0.308761791193383,3,1,-0.10685261008294912,0,1,1,11.51387442098207,-0.3703162580110625,-2.4324761624126996,1.239023550437549,-0.5212562899954044
0,1,1,0,0.8690312755308397,-0.9114274375379638,4,0,-0.9512987964965197,0,0,0,12.743511157598476,1.4525882747837169,-0.4616020915548006,0.6367269809196804,0.5425710547161989
0,0,0,0,-0.1244566297144221,1.576849825589217,3,0,0.75687526546332,1,1,1,11.26085069833339,-0.4715589948654349,-1.404437613866566,0.002528291836206253,-0.6244894389652649
0,0,0,1,0.8671568891001863,-0.8379792146793185,5,1,-0.9263374673136506,0,1,1,14.225937289868142,0.13608134850539483,0.09705332808486404,-0.25842861209101653,-0.008431311833585883
0,0,1,1,0.15939319777622218,0.25159280726173744,5,1,-0.02128038015727883,0,1,1,14.632020760086004,-0.7602120759470232,-0.5094747513872037,-1.6021350031256794,-0.9572739434866354
0,0,1,1,0.09127189816757326,-0.48786908807379537,2,1,-0.05394044293607976,0,0,0,11.993576716809267,0.2590404774877085,-1.0855217533233876,0.1476706096839491,-0.2262702220505767
0,1,1,0,-0.11358186823078863,0.03627929263833515,2,1,-0.20709514261728257,1,0,1,12.942039027127812,0.5806144344400543,-2.1035053965101365,-1.4367993823980694,-0.9865634481560505
0,0,0,0,-1.4473813334630898,0.4576097419403723,2,1,-0.38931972298531436,0,0,0,13.076252257586276,1.6828955091918187,-0.34933878737862656,2.466114474870728,1.2665570655613068
0,1,1,1,1.9380948993931397,-1.370256589207886,2,1,-0.8220766949616712,0,1,0,14.940004865831785,-0.9373488899726081,-1.7523840385658507,-1.032048523246095,-1.2405938172615179
1,1,1,1,-0.9415339202677434,-0.006616244153488004,5,1,-1.6169364373700783,0,0,1,11.262478313546309,-0.9478742042952126,1.0061618482851153,0.3245669226046602,0.1276181888648543
0,1,0,0,-1.3600235763105946,1.1907286489798454,5,1,1.4038047328403518,1,1,1,13.671529470971581,-0.2667906037820293,0.25489756942832553,1.5064108791500326,0.49817261493210957
0,0,0,1,-0.2128598827563673,1.761501893492003,1,1,-0.4917234642572493,0,1,0,12.383059932851396,-0.617113990686085,-0.22679841055255318,-0.36602841242312945,-0.4033136045539225
0,1,0,1,-0.9614718135105067,-0.13001397325513103,3,0,-0.12811209511746938,0,0,1,13.007224848450619,-0.015447038554092914,1.450747259655328,-0.3592809288870527,0.3586730974047274
0,0,0,0,-0.05171279056027103,0.04168120721690878,3,1,-0.1342273839339406,0,0,0,11.868138282781482,0.5219883258647884,0.00982651224218834,-2.586784129563845,-0.684989763818956
